location,career_level,experience_level,education_level,employment_type,job_function,company_process_time,company_industry,Salary Level
26,3,2,8,0,61,29,30,1
1,3,2,8,4,41,29,7,1
4,4,5,9,4,57,29,30,1
4,3,2,9,4,39,19,18,1
4,1,1,6,0,15,26,29,0
4,3,1,15,4,54,29,57,0
4,3,1,8,4,3,29,41,0
4,3,3,9,4,28,29,55,0
9,3,1,4,0,31,19,20,1
4,3,1,15,4,39,7,53,1
31,2,2,15,4,41,29,41,2
0,4,3,15,4,21,28,34,1
4,3,3,18,4,41,29,21,1
4,3,2,18,4,34,26,41,1
9,1,1,9,0,53,29,24,1
10,3,2,9,4,40,27,12,2
1,3,1,10,4,24,10,30,1
4,4,5,9,4,57,27,47,2
14,3,2,15,4,38,27,41,0
4,3,1,18,4,50,22,47,1
0,2,5,16,4,12,9,23,2
7,3,5,18,4,9,16,28,2
10,3,1,18,0,0,29,3,1
4,2,5,9,4,0,29,50,2
33,3,1,13,4,41,30,18,1
1,4,3,6,4,37,4,5,2
4,3,1,18,4,41,29,28,0
20,4,3,8,4,34,29,28,2
1,4,8,10,4,0,3,48,2
4,2,5,15,4,0,18,3,1
4,3,2,8,4,41,14,42,1
4,3,1,9,4,12,29,20,1
3,3,3,18,0,4,29,30,2
1,3,1,9,4,54,30,43,1
13,3,1,9,4,44,29,30,1
4,3,2,9,4,37,4,36,1
4,3,1,3,4,9,28,28,0
1,2,2,8,4,9,29,28,2
4,2,3,9,4,28,21,50,2
0,3,1,8,4,37,21,43,1
13,3,2,18,0,41,26,43,1
4,3,2,3,4,1,29,5,0
4,2,3,9,4,41,29,24,2
1,3,3,8,0,21,3,52,1
3,3,1,9,4,56,9,47,1
4,1,1,9,4,41,19,29,1
4,3,1,3,4,26,29,50,0
4,4,5,16,4,7,19,29,2
30,4,1,15,0,41,13,30,1
4,3,1,18,4,56,29,57,1
4,4,1,9,4,35,26,47,1
0,3,1,8,4,41,29,3,1
4,4,3,9,4,32,18,18,2
10,3,2,15,4,38,27,41,1
4,3,1,8,4,12,2,20,0
27,1,1,18,4,38,29,41,1
7,4,5,15,4,29,25,29,2
4,1,1,9,0,12,26,23,1
4,3,2,15,4,38,27,41,0
4,0,6,10,4,34,17,29,2
0,2,5,9,4,38,1,41,2
7,3,5,16,4,59,19,29,2
17,4,2,8,4,9,24,28,1
0,3,2,15,4,12,26,20,2
4,3,1,3,4,9,25,28,0
7,2,2,15,4,41,29,41,2
7,4,1,9,4,18,13,18,2
7,1,2,9,0,24,26,5,2
2,1,1,3,0,3,16,41,1
4,3,1,8,4,39,12,39,1
9,3,2,15,4,0,29,12,1
4,2,2,15,4,7,29,30,1
4,1,1,8,4,41,21,41,0
7,3,1,16,4,37,29,26,2
4,1,1,3,4,56,29,50,0
7,3,1,6,4,42,29,3,2
4,3,2,13,4,7,28,30,1
1,3,2,13,0,0,22,12,2
4,3,2,9,4,0,26,47,1
4,3,1,15,4,34,30,7,0
1,3,2,18,4,34,29,24,1
3,1,1,3,4,21,29,46,1
33,3,2,18,4,30,29,28,1
4,4,3,9,4,54,29,47,1
4,0,5,18,4,59,28,9,2
0,3,1,18,3,9,29,28,0
4,3,2,9,4,10,29,41,1
4,3,1,9,4,12,29,39,1
1,3,3,13,4,34,29,1,1
0,4,2,9,4,39,26,20,2
1,3,2,18,0,14,21,9,1
9,2,5,9,0,22,29,30,2
7,3,2,9,4,5,28,21,2
4,3,3,9,4,39,22,18,1
11,3,3,3,4,39,21,3,1
4,3,2,9,4,29,29,45,1
7,3,1,15,4,41,19,29,2
27,3,1,3,4,41,29,29,0
0,3,1,3,4,41,27,57,1
7,2,3,13,4,9,10,28,2
7,3,1,15,0,19,29,18,1
1,4,5,15,4,28,29,30,2
7,3,1,13,4,66,29,52,1
4,3,1,9,4,54,29,57,1
1,3,5,9,4,54,29,20,2
1,3,2,15,0,0,21,50,2
7,4,5,16,4,61,19,29,2
33,2,2,18,4,5,28,48,2
4,4,5,9,0,0,28,28,1
4,2,10,18,4,37,29,30,2
4,3,1,9,4,14,29,1,0
4,3,2,3,4,5,29,24,0
4,3,2,15,4,28,29,55,1
8,4,2,9,4,37,19,18,1
16,4,2,15,0,41,26,24,1
7,3,1,18,4,3,29,48,1
9,3,2,9,4,18,20,30,2
0,3,2,15,4,56,12,48,1
4,3,5,9,4,66,27,23,1
33,2,5,8,4,19,29,28,2
4,3,1,18,4,37,29,30,1
4,3,2,9,4,12,2,23,1
4,3,2,3,4,41,29,28,0
4,3,3,16,4,12,24,20,2
27,4,3,9,0,32,4,40,1
1,3,2,9,4,37,6,39,1
7,3,2,6,4,12,29,20,2
9,3,1,4,4,41,7,50,1
4,2,3,18,4,41,25,50,1
9,3,2,9,4,41,29,31,2
27,2,2,18,4,41,29,57,1
4,3,1,8,4,0,29,23,1
25,3,1,15,4,40,29,12,1
4,3,1,8,4,26,29,23,1
4,3,2,3,4,22,5,20,0
0,3,1,3,4,9,29,29,1
4,3,1,16,4,26,19,29,0
4,1,1,18,0,19,25,29,1
1,4,2,18,4,22,29,30,2
4,3,2,9,4,12,14,20,2
4,3,2,9,4,12,29,23,1
4,3,1,9,4,14,23,53,2
4,3,1,15,0,7,29,21,0
3,3,1,18,0,57,28,53,1
33,3,1,9,4,12,14,20,2
4,3,3,18,4,61,26,12,1
8,3,1,8,4,41,29,30,1
7,3,1,8,4,41,16,41,2
4,1,1,9,4,1,16,2,1
9,3,1,18,4,56,29,30,2
17,3,1,9,4,1,29,30,1
4,2,5,13,4,4,29,57,2
4,2,3,16,4,37,29,2,2
4,4,2,18,4,12,2,23,2
1,2,5,0,0,10,5,55,2
1,3,2,3,0,26,29,57,1
4,3,1,15,4,40,19,23,1
4,4,2,9,4,22,27,28,1
7,3,2,9,4,41,29,23,2
7,3,1,8,4,56,28,7,2
4,3,1,9,4,0,29,55,0
9,4,3,10,4,0,4,23,2
21,3,2,15,4,38,27,41,1
4,3,1,18,4,12,29,23,1
4,3,1,3,4,9,29,28,0
1,3,1,8,4,41,29,47,1
1,3,1,8,4,41,16,41,1
4,3,3,13,4,28,30,57,1
4,3,2,9,0,12,29,57,1
7,4,3,15,4,61,26,12,2
4,3,3,15,4,7,29,12,1
0,4,5,15,4,21,21,50,2
21,2,5,9,4,7,11,48,2
4,3,1,8,4,9,27,28,2
8,3,1,3,8,42,26,41,1
7,3,1,15,4,0,29,50,1
0,3,1,15,4,12,7,11,2
4,3,3,8,4,40,8,30,1
4,3,2,15,4,10,29,23,1
32,3,1,15,4,11,22,20,1
20,4,1,9,4,9,29,28,1
4,3,1,18,4,61,28,21,1
1,3,2,18,4,36,7,23,2
9,3,1,15,0,19,28,24,2
7,3,3,9,4,54,11,50,2
1,3,1,15,0,2,27,52,1
7,3,1,18,4,17,29,24,1
4,3,1,8,4,56,29,57,1
4,3,2,15,4,40,29,12,1
7,3,1,18,4,54,29,48,2
4,2,5,18,4,7,29,35,2
4,3,1,9,4,19,24,5,2
9,3,1,9,4,30,29,40,2
7,3,1,9,4,50,29,47,2
9,4,2,15,4,41,26,50,2
4,3,5,9,4,29,28,57,1
33,3,2,13,4,14,29,24,0
3,2,1,18,4,57,29,18,2
7,3,3,9,4,17,29,18,2
3,3,2,13,4,2,29,7,1
4,3,2,18,4,3,29,41,1
4,3,1,10,4,12,15,23,1
4,1,1,10,4,3,18,41,1
4,1,1,8,4,13,3,22,1
4,2,4,9,4,39,29,7,1
4,3,2,9,4,1,29,1,1
7,3,5,9,0,12,4,20,2
4,3,1,10,4,35,27,50,1
28,3,3,4,4,21,29,52,2
8,3,1,9,4,57,9,47,1
4,3,3,15,4,56,29,23,1
8,1,1,15,0,18,25,5,1
7,3,1,18,4,41,29,57,2
4,3,3,18,4,39,29,57,2
4,2,2,18,0,12,29,30,2
7,3,2,8,4,41,25,7,2
4,3,2,15,4,10,21,3,1
4,1,1,9,4,33,18,39,1
7,3,2,9,4,26,10,57,2
4,1,1,9,4,0,20,53,1
4,3,1,18,3,18,29,50,0
4,3,1,15,4,40,20,12,1
7,1,1,6,4,54,29,30,1
4,3,3,9,4,0,29,30,2
1,3,3,9,4,34,2,1,2
4,3,2,8,4,41,28,7,0
0,2,5,16,4,12,9,23,2
8,3,2,13,4,0,29,24,1
4,1,1,18,4,56,8,30,1
4,3,1,10,4,57,10,50,1
7,2,5,9,4,37,28,31,2
7,1,1,3,4,42,29,7,1
4,3,2,9,3,34,29,20,1
7,3,2,9,4,22,29,30,2
4,3,2,3,4,39,21,57,1
8,4,1,9,4,21,28,30,2
0,2,5,9,4,38,1,41,2
1,3,1,15,4,56,29,18,1
4,3,2,9,4,12,29,20,1
4,3,2,15,0,41,29,30,1
4,1,1,6,2,34,27,5,0
4,2,3,16,4,41,29,50,2
4,4,1,9,4,17,27,47,2
1,4,2,15,4,39,14,21,2
20,4,2,8,4,12,29,28,2
4,3,2,9,4,37,21,20,1
1,3,3,9,4,54,22,43,2
4,3,2,13,4,62,24,50,1
4,3,1,13,4,0,29,3,0
4,3,2,9,4,39,28,29,1
1,3,1,3,4,41,29,50,1
